original_adm2,aggregated_adm2
CORNWALL,CORNWALL_AND_ISLES_OF_SCILLY
WREXHAM,CLWYD
LEEDS,WEST_YORKSHIRE
STIRLING,STIRLING
SOUTHAMPTON,HAMPSHIRE
PLYMOUTH,DEVON
STOCKTON-ON-TEES,DURHAM
KENT,KENT
LEICESTER,LEICESTERSHIRE
SOUTHEND-ON-SEA,ESSEX
LANCASHIRE,LANCASHIRE
SHEFFIELD,SOUTH_YORKSHIRE
WAKEFIELD,WEST_YORKSHIRE
EILEAN_SIAR,EILEAN_SIAR
ISLE_OF_WIGHT,HAMPSHIRE
ORKNEY_ISLANDS,ORKNEY_ISLANDS
LEICESTERSHIRE,LEICESTERSHIRE
KIRKLEES,WEST_YORKSHIRE
WOKINGHAM,BERKSHIRE
DORSET,DORSET
RENFREWSHIRE,RENFREWSHIRE
SOUTH_LANARKSHIRE,SOUTH_LANARKSHIRE
COVENTRY,WEST_MIDLANDS
SAINT_HELENS,MERSEYSIDE
WALSALL,WEST_MIDLANDS
NORTHUMBERLAND,NORTHUMBERLAND
NORTH_SOMERSET,SOMERSET
RUTLAND,LEICESTERSHIRE
CLACKMANNANSHIRE,CLACKMANNANSHIRE
BIRMINGHAM,WEST_MIDLANDS
BOURNEMOUTH,DORSET
FLINTSHIRE,CLWYD
HIGHLAND,HIGHLAND
BRADFORD,WEST_YORKSHIRE
EAST_LOTHIAN,EAST_LOTHIAN
PETERBOROUGH,CAMBRIDGESHIRE
DUNDEE,DUNDEE
DUDLEY,WEST_MIDLANDS
CAMBRIDGESHIRE,CAMBRIDGESHIRE
WARWICKSHIRE,WARWICKSHIRE
SALFORD,GREATER_MANCHESTER
TRAFFORD,GREATER_MANCHESTER
LISBURN_AND_CASTLEREAGH,LISBURN_AND_CASTLEREAGH
EAST_DUNBARTONSHIRE,EAST_DUNBARTONSHIRE
BLAENAU_GWENT,BLAENAU_GWENT
CONWY,CLWYD
MONMOUTHSHIRE,MONMOUTHSHIRE
WEST_LOTHIAN,WEST_LOTHIAN
ANGLESEY,ANGLESEY
BRIGHTON_AND_HOVE,SUSSEX
CALDERDALE,WEST_YORKSHIRE
MID_AND_EAST_ANTRIM,MID_AND_EAST_ANTRIM
BRACKNELL_FOREST,BERKSHIRE
ROTHERHAM,SOUTH_YORKSHIRE
DEVON,DEVON
DUMFRIES_AND_GALLOWAY,DUMFRIES_AND_GALLOWAY
INVERCLYDE,INVERCLYDE
SEFTON,MERSEYSIDE
ISLES_OF_SCILLY,CORNWALL_AND_ISLES_OF_SCILLY
SHETLAND_ISLANDS,SHETLAND_ISLANDS
EAST_RIDING_OF_YORKSHIRE,EAST_RIDING_OF_YORKSHIRE
STOCKPORT,GREATER_MANCHESTER
VALE_OF_GLAMORGAN,VALE_OF_GLAMORGAN
EAST_AYRSHIRE,EAST_AYRSHIRE
GLOUCESTERSHIRE,GLOUCESTERSHIRE
MIDDLESBROUGH,NORTH_YORKSHIRE
HERTFORDSHIRE,HERTFORDSHIRE
PEMBROKESHIRE,PEMBROKESHIRE
WARRINGTON,CHESHIRE
OLDHAM,GREATER_MANCHESTER
GWYNEDD,GWYNEDD
NORTH_YORKSHIRE,NORTH_YORKSHIRE
CENTRAL_BEDFORDSHIRE,BEDFORDSHIRE
NOTTINGHAMSHIRE,NOTTINGHAMSHIRE
"ARMAGH,_BANBRIDGE_AND_CRAIGAVON","ARMAGH,_BANBRIDGE_AND_CRAIGAVON"
BLACKBURN_WITH_DARWEN,LANCASHIRE
MERTHYR_TYDFIL,MERTHYR_TYDFIL
NOTTINGHAM,NOTTINGHAMSHIRE
BOLTON,GREATER_MANCHESTER
DARLINGTON,DURHAM
CAUSEWAY_COAST_AND_GLENS,CAUSEWAY_COAST_AND_GLENS
TELFORD_AND_WREKIN,SHROPSHIRE
WINDSOR_AND_MAIDENHEAD,BERKSHIRE
NORFOLK,NORFOLK
MILTON_KEYNES,BUCKINGHAMSHIRE
CARMARTHENSHIRE,CARMARTHENSHIRE
EAST_RENFREWSHIRE,EAST_RENFREWSHIRE
NORTH_LINCOLNSHIRE,LINCOLNSHIRE
NORTH_DOWN_AND_ARDS,NORTH_DOWN_AND_ARDS
EDINBURGH,EDINBURGH
HARTLEPOOL,DURHAM
KNOWSLEY,MERSEYSIDE
CHESHIRE_WEST_AND_CHESTER,CHESHIRE
WEST_SUSSEX,SUSSEX
NORTH_LANARKSHIRE,NORTH_LANARKSHIRE
BRISTOL,BRISTOL
DURHAM,DURHAM
SOLIHULL,WEST_MIDLANDS
SOUTH_TYNESIDE,TYNE_AND_WEAR
PORTSMOUTH,HAMPSHIRE
DERRY_AND_STRABANE,DERRY_AND_STRABANE
CEREDIGION,CEREDIGION
SWANSEA,SWANSEA
WOLVERHAMPTON,WEST_MIDLANDS
ABERDEEN,ABERDEEN
WILTSHIRE,WILTSHIRE
TAMESIDE,GREATER_MANCHESTER
"RHONDDA,_CYNON,_TAFF","RHONDDA,_CYNON,_TAFF"
GREATER_LONDON,GREATER_LONDON
SCOTTISH_BORDERS,SCOTTISH_BORDERS
SUNDERLAND,TYNE_AND_WEAR
BURY,GREATER_MANCHESTER
TORBAY,DEVON
BRIDGEND,BRIDGEND
NEWPORT,NEWPORT
GATESHEAD,TYNE_AND_WEAR
KINGSTON_UPON_HULL,EAST_RIDING_OF_YORKSHIRE
CAERPHILLY,CAERPHILLY
SOUTH_GLOUCESTERSHIRE,GLOUCESTERSHIRE
HEREFORDSHIRE,HEREFORDSHIRE
WORCESTERSHIRE,WORCESTERSHIRE
READING,BERKSHIRE
SWINDON,WILTSHIRE
BLACKPOOL,LANCASHIRE
STAFFORDSHIRE,STAFFORDSHIRE
SURREY,SURREY
"NEWRY,_MOURNE_AND_DOWN","NEWRY,_MOURNE_AND_DOWN"
YORK,NORTH_YORKSHIRE
ANTRIM_AND_NEWTOWNABBEY,ANTRIM_AND_NEWTOWNABBEY
FERMANAGH_AND_OMAGH,FERMANAGH_AND_OMAGH
ANGUS,ANGUS
CHESHIRE_EAST,CHESHIRE
DONCASTER,SOUTH_YORKSHIRE
POOLE,DORSET
LUTON,BEDFORDSHIRE
BATH_AND_NORTH_EAST_SOMERSET,SOMERSET
REDCAR_AND_CLEVELAND,NORTH_YORKSHIRE
MIDLOTHIAN,MIDLOTHIAN
EAST_SUSSEX,SUSSEX
POWYS,POWYS
HALTON,CHESHIRE
NEWCASTLE_UPON_TYNE,TYNE_AND_WEAR
NORTH_TYNESIDE,TYNE_AND_WEAR
SOUTH_AYRSHIRE,SOUTH_AYRSHIRE
WIRRAL,MERSEYSIDE
ARGYLL_AND_BUTE,ARGYLL_AND_BUTE
HAMPSHIRE,HAMPSHIRE
BEDFORDSHIRE,BEDFORDSHIRE
BARNSLEY,SOUTH_YORKSHIRE
DERBY,DERBYSHIRE
BUCKINGHAMSHIRE,BUCKINGHAMSHIRE
MORAY,MORAY
SANDWELL,WEST_MIDLANDS
FALKIRK,FALKIRK
ROCHDALE,GREATER_MANCHESTER
FIFE,FIFE
LINCOLNSHIRE,LINCOLNSHIRE
WIGAN,GREATER_MANCHESTER
MID_ULSTER,MID_ULSTER
WEST_BERKSHIRE,BERKSHIRE
GLASGOW,GLASGOW
DENBIGHSHIRE,CLWYD
ABERDEENSHIRE,ABERDEENSHIRE
OXFORDSHIRE,OXFORDSHIRE
BELFAST,BELFAST
STOKE-ON-TRENT,STAFFORDSHIRE
NORTH_AYRSHIRE,NORTH_AYRSHIRE
SUFFOLK,SUFFOLK
WEST_DUNBARTONSHIRE,WEST_DUNBARTONSHIRE
SLOUGH,BERKSHIRE
CUMBRIA,CUMBRIA
SOMERSET,SOMERSET
NORTHAMPTONSHIRE,NORTHAMPTONSHIRE
MEDWAY,KENT
ESSEX,ESSEX
TORFAEN,TORFAEN
PERTHSHIRE_AND_KINROSS,PERTHSHIRE_AND_KINROSS
THURROCK,ESSEX
CARDIFF,CARDIFF
NEATH_PORT_TALBOT,NEATH_PORT_TALBOT
DERBYSHIRE,DERBYSHIRE
MANCHESTER,GREATER_MANCHESTER
SHROPSHIRE,SHROPSHIRE